country,variable,value,estimate_weighted,estimate_weighted_se,estimate_weighted_95ci_low,estimate_weighted_95ci_upp,n_unweighted,question_text,notes
BR,general_connected,Not at all connected,0.06496299227266288,0.00661047912216653,0.05314505197124576,0.07918911725538764,134,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
BR,general_connected,A little connected,0.39739250624343725,0.01368871979405425,0.3708887005561703,0.42451226690315697,785,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
BR,general_connected,Fairly connected,0.2978772430326568,0.011783159088969335,0.2753036321676816,0.32148069789984296,581,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
BR,general_connected,Very connected,0.2346472844820377,0.011834167726550488,0.21224585200422377,0.258636801691846,483,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
BR,general_connected,DK/NR,0.005119973973929029,0.001229704098178065,0.0031956727245753412,0.008193484921173137,17,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
EG,general_connected,Not at all connected,0.01180162325776571,0.0030649398939164357,0.007083558957308655,0.019600161103453497,21,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
EG,general_connected,A little connected,0.12380512805752526,0.009090370480035926,0.10705652851633335,0.14275508324618238,243,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
EG,general_connected,Fairly connected,0.40575817770599726,0.012332750028725026,0.38182642224316954,0.43014617368171476,813,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
EG,general_connected,Very connected,0.4586350710450256,0.012420084495107614,0.4344036079493012,0.48306376954130525,925,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
FR,general_connected,Not at all connected,0.046190431218133654,0.006195975449615731,0.03545461645353568,0.05997496179765434,79,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
FR,general_connected,A little connected,0.13859460372981058,0.009556405606818728,0.12089945042605758,0.15841296639539126,271,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
FR,general_connected,Fairly connected,0.4752315521180063,0.013884953993403797,0.4481107886632137,0.5024992100793034,955,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
FR,general_connected,Very connected,0.33741139232167244,0.013105720096450873,0.3122165544028634,0.36356464542740485,688,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
FR,general_connected,DK/NR,0.0025720208582103088,0.0010957537755840222,0.0011149204979419571,0.005922129653314361,7,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
ID,general_connected,Not at all connected,0.06882156848395568,0.006887744563364045,0.05648480092223341,0.08361401060280302,117,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
ID,general_connected,A little connected,0.11519796474378705,0.00861508302266341,0.0993548054760854,0.13319386512613207,219,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?",NA
