variable,question_text,possible_values,notes
general_connected,"In general, how connected do you feel to people? By connected, I mean how close you feel to people emotionally. Do you feel...?","Not at all connected, A little connected, Fairly connected, Very connected, DK/NR",
general_supported,"In general, how supported do you feel by people? By supported, I mean how much you feel cared for by people. Do you feel...?","Not at all supported, A little supported, Fairly supported, Very supported, DK/NR",
general_lonely,"In general, how lonely do you feel? By lonely, I mean how much you feel emotionally isolated from people. Do you feel...?","Not at all lonely, A little lonely, Fairly lonely, Very lonely, DK/NR",
loneliness_scale_neg_1,How often do you feel that you lack companionship?,"Never, Rarely, Sometimes, Always, DK/NR",
loneliness_scale_neg_2,How often do you feel left out?,"Never, Rarely, Sometimes, Always, DK/NR",
loneliness_scale_neg_3,How often do you feel isolated from others?,"Never, Rarely, Sometimes, Always, DK/NR",
loneliness_scale_pos_1,How often do you feel that there are people who really understand you?,"Never, Rarely, Sometimes, Always, DK/NR",
loneliness_scale_pos_2,How often do you feel that there are people you can talk to?,"Never, Rarely, Sometimes, Always, DK/NR",
loneliness_scale_pos_3,How often do you feel that there are people you can turn to?,"Never, Rarely, Sometimes, Always, DK/NR",
support_scale_1,Suppose that you needed someone to take care of you if you were sick or injured. How often would this type of support or help be available to you?,"Never, Rarely, Sometimes, Always, DK/NR",
support_scale_2,Suppose that you needed someone to loan you money. How often would this type of support or help be available to you?,"Never, Rarely, Sometimes, Always, DK/NR",
support_scale_3,Suppose that you needed someone you can count on to listen to you when you need to talk. How often would this type of support or help be available to you?,"Never, Rarely, Sometimes, Always, DK/NR",
support_scale_4,Suppose that you needed someone who makes you feel loved and cared for. How often would this type of support or help be available to you?,"Never, Rarely, Sometimes, Always, DK/NR",
support_scale_5,Suppose that you needed someone to do something fun with. How often would this type of support or help be available to you?,"Never, Rarely, Sometimes, Always, DK/NR",
kind_mean,Would you say that the people you interact with are mostly kind or mostly mean?,"Mostly mean, Mostly kind, DK/NR",
trustworthy_untrustworthy,Would you say that the people you interact with are mostly trustworthy or mostly untrustworthy?,"Mostly untrustworthy, Mostly trustworthy, DK/NR",
general_relationship_satisfaction,"In general, how satisfied or dissatisfied are you with your relationships with people?","Very dissatisfied, Somewhat dissatisfied, Somewhat satisfied, Very satisfied, DK/NR",
general_interaction_freq,"In general, do you feel that you interact with people too much, just enough, or too little?","Too little, Just enough, Too much, DK/NR",
general_conflict_freq,"In general, how often do you experience conflict with or argue with people?","Never, Rarely, Sometimes, Often, DK/NR",
general_conflict_with_friends_freq,"Now, in general, how often do you experience conflict with or argue with your FRIENDS?","Never, Rarely, Sometimes, Often, DK/NR",
general_meaningful_interactions_freq,"In general, how often do you interact with people in ways that are very meaningful to you?","Never, Rarely, Sometimes, Often, DK/NR",
general_meaningful_interactions_with_friends_freq,"Now, in general, how often do you interact with your FRIENDS in ways that are very meaningful to you?","Never, Rarely, Sometimes, Often, DK/NR",
social_media_connected,"Do you personally think that social media makes people feel more connected or less connected to other people? By connected, I mean how close people feel to other people emotionally.","Less connected, More connected, DK/NR",
social_media_supported,"Do you personally think that social media makes people feel more supported or less supported by other people? By supported, I mean how much people feel cared for by other people.","Less supported, More supported, DK/NR",
social_media_lonely,"Do you personally think that social media makes people feel more lonely or less lonely? By lonely, I mean how much people feel emotionally isolated from other people.","Less lonely, More lonely, DK/NR",
interaction_target_freq_ff_far_7d,How often did you interact with friends or family who live far away in the past 7 days?,"Never, Only once, A few times, Once per day, More than once per day, DK/NR",
interaction_target_freq_ff_close_7d,How often did you interact with friends or family who live with you or near you in the past 7 days?,"Never, Only once, A few times, Once per day, More than once per day, DK/NR",
interaction_target_freq_work_school_7d,How often did you interact with people from work or school in the past 7 days?,"Never, Only once, A few times, Once per day, More than once per day, DK/NR",
interaction_target_freq_neighbors_7d,How often did you interact with neighbors or people who live near you in the past 7 days?,"Never, Only once, A few times, Once per day, More than once per day, DK/NR",
interaction_target_freq_groups_7d,How often did you interact with people from groups you are a part of based on shared interests or beliefs in the past 7 days?,"Never, Only once, A few times, Once per day, More than once per day, DK/NR",
interaction_target_freq_strangers_7d,How often did you interact with strangers or people you dont know in the past 7 days?,"Never, Only once, A few times, Once per day, More than once per day, DK/NR",
interaction_mode_freq_in_person_7d,How often did you interact with people in person in the past 7 days?,"Never, Only once, A few times, Once per day, More than once per day, DK/NR",
interaction_mode_freq_phone_7d,How often did you interact with people through a phone call or a voice call in the past 7 days?,"Never, Only once, A few times, Once per day, More than once per day, DK/NR",
interaction_mode_freq_video_7d,How often did you interact with people through a video call in the past 7 days?,"Never, Only once, A few times, Once per day, More than once per day, DK/NR",
interaction_mode_freq_email_7d,How often did you interact with people through email in the past 7 days?,"Never, Only once, A few times, Once per day, More than once per day, DK/NR",
